Model,Condition,Threshold,Recall,Precision,F1,TP,FN,FP,TN,Clean Recall,Recall Drop,Envelope Met
Pedestrian,Noise S2,0.1,0.9716713881019831,0.2063157894736842,0.34036219300421733,686,20,2639,255,0.8512747875354107,-0.12039660056657231,True
Pedestrian,Noise S2,0.2,0.8512747875354107,0.22375279225614297,0.35436320754716977,601,105,2085,809,0.7252124645892352,-0.1260623229461756,True
Pedestrian,Noise S2,0.3,0.6912181303116147,0.24412206103051526,0.3608133086876155,488,218,1511,1383,0.6430594900849859,-0.04815864022662886,True
Pedestrian,Noise S2,0.4,0.5524079320113314,0.26822558459422285,0.3611111111111111,390,316,1064,1830,0.5835694050991501,0.031161473087818692,True
Pedestrian,Noise S2,0.5,0.4475920679886686,0.29699248120300753,0.3570621468926554,316,390,748,2146,0.509915014164306,0.062322946175637384,True
Pedestrian,Noise S2,0.6,0.3526912181303116,0.3254901960784314,0.33854520734194427,249,457,516,2378,0.45609065155807366,0.10339943342776203,False
Pedestrian,Noise S2,0.7,0.29461756373937675,0.37076648841354726,0.32833464877663776,208,498,353,2541,0.4093484419263456,0.11473087818696887,False
Pedestrian,Noise S2,0.8,0.23371104815864022,0.42857142857142855,0.302474793767186,165,541,220,2674,0.35410764872521244,0.12039660056657223,False
Pedestrian,Noise S2,0.9,0.14305949008498584,0.48792270531400966,0.22124863088718513,101,605,106,2788,0.2776203966005666,0.13456090651558075,False
Pedestrian,Noise S3,0.01,1.0,0.19611111111111112,0.32791453785415703,706,0,2894,0,0.9815864022662889,-0.018413597733711096,True
Pedestrian,Noise S3,0.05,1.0,0.19611111111111112,0.32791453785415703,706,0,2894,0,0.9050991501416431,-0.0949008498583569,True
Pedestrian,Noise S3,0.1,1.0,0.19616560155598778,0.32799070847851336,706,0,2893,1,0.8512747875354107,-0.14872521246458925,True
Pedestrian,Noise S3,0.2,0.9830028328611898,0.19693530079455165,0.3281323877068558,694,12,2830,64,0.7252124645892352,-0.2577903682719547,True
Pedestrian,Noise S3,0.3,0.9065155807365439,0.20106817467797675,0.32913345332990485,640,66,2543,351,0.6430594900849859,-0.26345609065155806,True
Pedestrian,Noise S3,0.4,0.7620396600566572,0.20692307692307693,0.3254688445251059,538,168,2062,832,0.5835694050991501,-0.17847025495750712,True
Pedestrian,Noise S3,0.5,0.6189801699716714,0.22004028197381673,0.32466567607726593,437,269,1549,1345,0.509915014164306,-0.10906515580736542,True
Pedestrian,Noise S3,0.6,0.45609065155807366,0.22983583154889364,0.3056478405315614,322,384,1079,1815,0.45609065155807366,0.0,True
Pedestrian,Noise S3,0.7,0.32152974504249293,0.2402116402116402,0.274984857662023,227,479,718,2176,0.4093484419263456,0.08781869688385269,True
Pedestrian,Noise S3,0.8,0.22662889518413598,0.272572402044293,0.24748646558391338,160,546,427,2467,0.35410764872521244,0.12747875354107646,False
Pedestrian,Noise S3,0.9,0.12181303116147309,0.31970260223048325,0.1764102564102564,86,620,183,2711,0.2776203966005666,0.15580736543909351,False
Vehicle,Clean,0.01,1.0,0.7512520868113522,0.857959961868446,2700,0,894,6,1.0,0.0,True
Vehicle,Clean,0.05,0.9992592592592593,0.7591446257737761,0.8628078030060763,2698,2,856,44,0.9992592592592593,0.0,True
Vehicle,Clean,0.1,0.9911111111111112,0.766981943250215,0.864760058167717,2676,24,813,87,0.9911111111111112,0.0,True
Vehicle,Clean,0.2,0.9844444444444445,0.7854609929078015,0.873767258382643,2658,42,726,174,0.9844444444444445,0.0,True
Vehicle,Clean,0.3,0.9785185185185186,0.8027955028866606,0.8819896511433818,2642,58,649,251,0.9785185185185186,0.0,True
Vehicle,Clean,0.4,0.9744444444444444,0.8125386040765905,0.8861569552037724,2631,69,607,293,0.9744444444444444,0.0,True
Vehicle,Clean,0.5,0.9651851851851851,0.8241619228336496,0.8891163425452064,2606,94,556,344,0.9651851851851851,0.0,True
Vehicle,Clean,0.6,0.9607407407407408,0.8373143963847643,0.8947913073473611,2594,106,504,396,0.9607407407407408,0.0,True
Vehicle,Clean,0.7,0.9477777777777778,0.8712972420837589,0.9079297498669506,2559,141,378,522,0.9477777777777778,0.0,True
Vehicle,Clean,0.8,0.9288888888888889,0.9080376538740044,0.9183449285975832,2508,192,254,646,0.9288888888888889,0.0,True
Vehicle,Clean,0.9,0.8844444444444445,0.951394422310757,0.9166986564299424,2388,312,122,778,0.8844444444444445,0.0,True
Vehicle,Blur S1,0.01,0.9733333333333334,0.7946779558512247,0.8749791909438989,2628,72,679,221,1.0,0.026666666666666616,True
Vehicle,Blur S1,0.05,0.8974074074074074,0.8804505813953488,0.8888481291269259,2423,277,329,571,0.9992592592592593,0.10185185185185186,False
Vehicle,Blur S1,0.1,0.8425925925925926,0.9308510638297872,0.88452566096423,2275,425,169,731,0.9911111111111112,0.1485185185185186,False
Vehicle,Blur S1,0.2,0.7918518518518518,0.9523385300668151,0.8647118301314459,2138,562,107,793,0.9844444444444445,0.19259259259259265,False
Vehicle,Blur S1,0.3,0.7548148148148148,0.9631379962192816,0.8463455149501662,2038,662,78,822,0.9785185185185186,0.22370370370370374,False
Vehicle,Blur S1,0.4,0.7151851851851851,0.9772267206477733,0.8259195893926433,1931,769,45,855,0.9744444444444444,0.2592592592592593,False
Vehicle,Blur S1,0.5,0.6825925925925926,0.9829333333333333,0.8056830601092898,1843,857,32,868,0.9651851851851851,0.2825925925925925,False
Vehicle,Blur S1,0.6,0.6574074074074074,0.9839246119733924,0.7881882770870338,1775,925,29,871,0.9607407407407408,0.30333333333333334,False
Vehicle,Blur S1,0.7,0.6229629629629629,0.9853544229642648,0.7633310642160199,1682,1018,25,875,0.9477777777777778,0.3248148148148149,False
Vehicle,Blur S1,0.8,0.5677777777777778,0.9903100775193798,0.7217514124293787,1533,1167,15,885,0.9288888888888889,0.36111111111111105,False
Vehicle,Blur S1,0.9,0.47185185185185186,0.9960906958561376,0.640361899974868,1274,1426,5,895,0.8844444444444445,0.4125925925925926,False
Vehicle,Blur S2,0.01,0.7277777777777777,0.9046961325966851,0.8066502463054187,1965,735,207,693,1.0,0.27222222222222225,False
Vehicle,Blur S2,0.05,0.3781481481481481,0.9903006789524733,0.5473063521844009,1021,1679,10,890,0.9992592592592593,0.6211111111111112,False
Vehicle,Blur S2,0.1,0.26,0.9901269393511989,0.4118509826928718,702,1998,7,893,0.9911111111111112,0.7311111111111112,False
Vehicle,Blur S2,0.2,0.20185185185185187,0.990909090909091,0.3353846153846154,545,2155,5,895,0.9844444444444445,0.7825925925925926,False
Vehicle,Blur S2,0.3,0.1751851851851852,0.9916142557651991,0.2977651872836009,473,2227,4,896,0.9785185185185186,0.8033333333333333,False
Vehicle,Blur S2,0.4,0.14962962962962964,0.9926289926289926,0.2600579336981011,404,2296,3,897,0.9744444444444444,0.8248148148148148,False
Vehicle,Blur S2,0.5,0.13148148148148148,0.9916201117318436,0.23217789404839767,355,2345,3,897,0.9651851851851851,0.8337037037037036,False
Vehicle,Blur S2,0.6,0.11333333333333333,0.9935064935064936,0.2034574468085106,306,2394,2,898,0.9607407407407408,0.8474074074074075,False
Vehicle,Blur S2,0.7,0.0962962962962963,1.0,0.17567567567567569,260,2440,0,900,0.9477777777777778,0.8514814814814815,False
Vehicle,Blur S2,0.8,0.07555555555555556,1.0,0.14049586776859505,204,2496,0,900,0.9288888888888889,0.8533333333333333,False
Vehicle,Blur S2,0.9,0.05814814814814815,1.0,0.10990549527476375,157,2543,0,900,0.8844444444444445,0.8262962962962963,False
Vehicle,Blur S3,0.01,0.35555555555555557,0.963855421686747,0.5194805194805194,960,1740,36,864,1.0,0.6444444444444444,False
Vehicle,Blur S3,0.05,0.10592592592592592,0.9896193771626297,0.19136835061893612,286,2414,3,897,0.9992592592592593,0.8933333333333333,False
Vehicle,Blur S3,0.1,0.06703703703703703,1.0,0.1256508156889969,181,2519,0,900,0.9911111111111112,0.9240740740740742,False
Vehicle,Blur S3,0.2,0.04814814814814815,1.0,0.09187279151943464,130,2570,0,900,0.9844444444444445,0.9362962962962963,False
Vehicle,Blur S3,0.3,0.04037037037037037,1.0,0.07760768956924172,109,2591,0,900,0.9785185185185186,0.9381481481481482,False
Vehicle,Blur S3,0.4,0.037037037037037035,1.0,0.07142857142857142,100,2600,0,900,0.9744444444444444,0.9374074074074075,False
Vehicle,Blur S3,0.5,0.032962962962962965,1.0,0.06382215847974185,89,2611,0,900,0.9651851851851851,0.9322222222222222,False
Vehicle,Blur S3,0.6,0.030740740740740742,1.0,0.05964786201940352,83,2617,0,900,0.9607407407407408,0.93,False
Vehicle,Blur S3,0.7,0.02851851851851852,1.0,0.05545552754771336,77,2623,0,900,0.9477777777777778,0.9192592592592593,False
